[[ SECCIÓN: ALUMNOS ]],,,,,,,,,
Alumno,Fichero,Curso,Centro Educativo,Pack,Extras,Método Pago,Estado,Total,Fecha
"Valeria Hernández Martin","img_alumno_1.jpg","1º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Efectivo","Pendiente","50.64€","2026-05-15"
"Chloe González Rodríguez","img_alumno_2.jpg","5º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Transferencia","Entregado","29.39€","2026-05-15"
"Marcos Fernández González","img_alumno_3.jpg","5º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Pagado","65.29€","2026-05-15"
"Chloe Romero Martínez","img_alumno_4.jpg","5º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Transferencia","Entregado","60.35€","2026-05-15"
"Marta González Alonso","img_alumno_5.jpg","1º ESO","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Entregado","50.34€","2026-05-15"
"Alejandro Sánchez García","img_alumno_6.jpg","5º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Pagado","29.30€","2026-05-15"
"Alejandro Fernández Martin","img_alumno_7.jpg","4º Primaria","Maestro Joaquín Cantero","Extra","Ninguno","Tarjeta","Pendiente","48.13€","2026-05-15"
"Valeria Sánchez López","img_alumno_8.jpg","4º Primaria","Maestro Joaquín Cantero","Extra","Ninguno","Tarjeta","Pendiente","69.36€","2026-05-15"
"Marcos Gutiérrez Hernández","img_alumno_9.jpg","1º ESO","Maestro Joaquín Cantero","Premium","Ninguno","Efectivo","Entregado","32.72€","2026-05-15"
"Julia Jiménez Diaz","img_alumno_10.jpg","5º Primaria","Maestro Joaquín Cantero","Extra","Ninguno","Efectivo","Pendiente","34.04€","2026-05-15"
"Chloe García Diaz","img_alumno_11.jpg","2º ESO","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Pendiente","66.75€","2026-05-15"
"Daniel Gutiérrez Ruiz","img_alumno_12.jpg","1º ESO","Maestro Joaquín Cantero","Premium","Ninguno","Efectivo","Entregado","38.68€","2026-05-15"
"Paula Martin Pérez","img_alumno_13.jpg","1º ESO","Maestro Joaquín Cantero","Básico","Ninguno","Tarjeta","Pendiente","39.57€","2026-05-15"
"Enzo Sánchez Martínez","img_alumno_14.jpg","2º ESO","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Pagado","26.13€","2026-05-15"
"Álvaro Hernández González","img_alumno_15.jpg","6º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Efectivo","Entregado","63.13€","2026-05-15"
"Emma Romero Sánchez","img_alumno_16.jpg","6º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Pagado","58.57€","2026-05-15"
"Adrián Sánchez Alonso","img_alumno_17.jpg","5º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Tarjeta","Pendiente","55.68€","2026-05-15"
"Alejandro Hernández Gómez","img_alumno_18.jpg","5º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Tarjeta","Entregado","47.28€","2026-05-15"
"Julia López Jiménez","img_alumno_19.jpg","5º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Tarjeta","Pendiente","58.62€","2026-05-15"
"Hugo Alonso Alonso","img_alumno_20.jpg","4º Primaria","Maestro Joaquín Cantero","Premium","Ninguno","Efectivo","Pendiente","31.31€","2026-05-15"
"Adrián Jiménez Ruiz","img_alumno_21.jpg","1º ESO","Maestro Joaquín Cantero","Premium","Ninguno","Transferencia","Entregado","39.86€","2026-05-15"
"Emma García Jiménez","img_alumno_22.jpg","2º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Efectivo","Pendiente","43.81€","2026-05-15"
"Enzo Ruiz García","img_alumno_23.jpg","5º Primaria","Maestro Joaquín Cantero","Básico","Ninguno","Efectivo","Pendiente","54.05€","2026-05-15"
"Martina Martínez Muñoz","img_alumno_24.jpg","1º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Tarjeta","Entregado","59.85€","2026-05-15"
"Lucía Pérez García","img_alumno_25.jpg","1º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Transferencia","Pagado","27.35€","2026-05-15"
"Daniel López Moreno","img_alumno_26.jpg","1º ESO","Maestro Joaquín Cantero","Extra","Ninguno","Transferencia","Pagado","53.14€","2026-05-15"
